iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,637.8486726287225,15390.33918840273,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
1,634.856227785144,15319.689891257874,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
2,631.877688017697,15249.36387529955,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
3,628.9129891389848,15179.359660655611,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
4,625.9620672568526,15109.675774230705,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
5,623.0248587730313,15040.310749675236,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
6,620.1013003817889,14971.263127354468,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
7,617.1913290685872,14902.531454317766,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
8,614.2948821087444,14834.114284267976,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
9,611.4118970661058,14766.010177530963,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
10,608.5423117917173,14698.217701025265,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
11,607.1141225581677,7315.95005875416,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
12,605.6892475867181,7299.181387436396,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
13,604.2676792382647,7282.451022003727,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
14,602.8494098912469,7265.758874916014,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
15,601.4344319416078,7249.104858833246,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
16,600.022737802753,7232.488886615085,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
17,598.614319905511,7215.910871320407,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
18,597.2091706980939,7199.370726206841,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
19,595.8072826460563,7182.868364730331,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
20,594.4086482322566,7166.403700544664,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
21,593.7108603471116,3575.71512893652,1e-07,1e-08,1e-08,0.01,False,139.63611270396254,1091.1136506157875
