iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,637.8477821996446,1539.933918840273,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
1,634.8544247227105,1532.8803950826832,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
2,631.8749503460201,1525.859083761434,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
3,628.9092951089358,1518.869837707758,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
4,625.9573953444399,1511.9125104255004,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
5,623.0191876777892,1504.9869560880416,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
6,620.0946090251769,1498.0930295352407,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
7,617.1835965923975,1491.230586270385,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
8,614.286087873522,1484.3994824571591,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
9,611.4020206495755,1477.5995749166257,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
10,608.5313329872229,1470.8307211242204,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
11,605.6739632374604,1464.0927792067612,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
12,602.8298500343116,1457.3856079394702,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
13,599.9989322935318,1450.7090667430089,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
14,597.1811492113166,1444.063015680529,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
15,594.3764402630163,1437.4473154547352,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
16,591.5847452018578,1430.8618274049609,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
17,588.8060040576705,1424.306413504259,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
18,586.0401571356196,1417.7809363565034,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
19,583.287145014943,1411.2852591935084,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
20,580.5469085476972,1404.8192458721544,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
21,577.8193888575057,1398.3827608715337,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
22,575.1045273383158,1391.9756692901042,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
23,572.4022656531589,1385.5978368428598,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
24,569.7125457329176,1379.249129858511,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
25,567.0353097750991,1372.929415276679,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
26,564.3705002426125,1366.6385606451045,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
27,561.7180598625526,1360.3764341168678,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
28,559.0779316249904,1354.1429044476197,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
29,556.4500587817663,1347.9378409928286,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
30,553.8343848452924,1341.7611137050394,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
31,551.2308535873567,1335.612593131143,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
32,548.6394090379355,1329.4921504096576,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
33,546.05999548401,1323.3996572680285,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
34,543.4925574683886,1317.3349860199326,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
35,540.9370397885344,1311.2980095625996,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
36,538.3933874953984,1305.2886013741454,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
37,535.8615458922574,1299.3066355109154,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
38,533.3414605335581,1293.3519866048414,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
39,530.8330772237664,1287.4245298608118,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
40,528.3363420162206,1281.5241410540511,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
41,525.8512012119913,1275.6506965275137,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
42,523.377601358747,1269.804073189288,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
43,520.9154892496226,1263.9841485100135,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
44,518.4648119220951,1258.1908005203095,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
45,516.025516656864,1252.4239078082148,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
46,513.5975509767367,1246.6833495166393,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
47,511.18086264551783,1240.9690053408299,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
48,508.77539966690625,1235.2807555258416,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
49,506.381110283395,1229.6184808640285,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
50,503.99794297517695,1223.9820626925386,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
51,501.6258464590551,1218.3713828908271,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
52,499.2647696873583,1212.786323878173,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
53,496.91466184686277,1207.226768611215,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
54,494.5754723577159,1201.692600581494,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
55,492.24715087236854,1196.1837038130068,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
56,489.9296472745085,1190.6999628597746,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
57,487.6229116780023,1185.241262803418,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
58,485.32689442583927,1179.807489250747,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
59,483.04154608908203,1174.3985283313586,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
60,480.7668174658206,1169.0142666952481,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
61,478.5026595801325,1163.6545915104302,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
62,476.24902368104654,1158.3193904605712,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
63,474.00586124151147,1153.0085517426314,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
64,471.7731239573711,1147.7219640645185,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
65,469.5507637463411,1142.4595166427537,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
66,467.3387327469927,1137.2210992001442,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
67,465.1369833177409,1132.0066019634714,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
68,462.945468035836,1126.815915661186,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
69,460.76413969636116,1121.648931521114,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
70,458.5929513112337,1116.5055412681756,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
71,456.4318561082116,1111.3856371221125,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
72,454.2808075299036,1106.2891117952254,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
73,452.13975923278485,1101.2158584901217,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
74,450.0086650862167,1096.1657708974774,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
75,447.8874791714707,1091.1387431938026,1e-06,1e-08,1e-08,0.001,False,2.1547640500757224,2.8789571388380852
