iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,637.8477821996446,1539.933918840273,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
1,634.8541554122736,1533.018262939562,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
2,631.8741449186685,1526.1335530755707,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
3,628.907689244945,1519.27965070511,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
4,625.9547271937371,1512.4564179054703,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
5,623.0151978429558,1505.663717371643,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
6,620.0890405445537,1498.9014124135538,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
7,617.1761949232938,1492.1693669533067,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
8,614.276600875526,1485.4674455224429,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
9,611.3901985679663,1478.7955132592117,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
10,608.5169284364835,1472.1534359058503,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
11,605.6567311848913,1465.5410798058797,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
12,602.8095477837445,1458.958311901412,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
13,599.9753194691415,1452.4049997304674,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
14,597.1539877415331,1445.881011424305,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
15,594.3454943645337,1439.386215704768,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
16,591.5497813637419,1432.920481881634,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
17,588.766791025562,1426.483679849985,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
18,585.9964658960353,1420.0756800875836,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
19,583.2387487796722,1413.696353652263,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
20,580.4935827382933,1407.3455721793293,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
21,577.7609110898734,1401.0232078789752,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
22,575.0406774073913,1394.7291335337025,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
23,572.332825517685,1388.4632224957609,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
24,569.637299500312,1382.2253486845948,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
25,566.9540436864147,1376.0153865843026,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
26,564.2830026575897,1369.8332112411083,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
27,561.624121244765,1363.6786982608407,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
28,558.9773445270789,1357.5517238064308,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
29,556.3426178307664,1351.4521645954123,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
30,553.7198867280496,1345.3798978974403,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
31,551.1090970360326,1339.3348015318168,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
32,548.5101948156027,1333.316753865028,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
33,545.9231263703354,1327.3256338082942,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
34,543.3478382454045,1321.3613208151294,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
35,540.7842772264977,1315.423694878913,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
36,538.2323903387365,1309.512636530469,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
37,535.6921248456007,1303.6280268356618,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
38,533.1634282478582,1297.769747392997,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
39,530.6462482825003,1291.9376803312357,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
40,528.1405329216798,1286.131708307022,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
41,525.646230371656,1280.3517145025148,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
42,523.1632890717426,1274.5975826230356,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
43,520.6916576932618,1268.869196894725,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
44,518.2312851385028,1263.1664420622096,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
45,515.7821205396834,1257.4892033862789,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
46,513.344113257919,1251.837366641574,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
47,510.9172128821938,1246.210818114286,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
48,508.5013692283373,1240.6094445998633,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
49,506.0965323380068,1235.0331334007317,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
50,503.7026524776722,1229.4817723240228,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
51,501.31968013760724,1223.955249679314,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
52,498.9475660308836,1218.4534542763763,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
53,496.58626109237144,1212.9762754229346,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
54,494.2357164777428,1207.5236029224388,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
55,491.8958835624799,1202.09532707184,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
56,489.5667139408883,1196.6913386593826,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
57,487.2481594251143,1191.3115289624018,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
58,484.9401720441663,1185.9557897451348,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
59,482.6427040429418,1180.6240132565374,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
60,480.35570788125636,1175.3160922281147,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
61,478.07913623288033,1170.0319198717589,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
62,475.8129419845762,1164.7713898775967,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
63,473.55707823514336,1159.5343964118479,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
64,471.3114982944655,1154.3208341146933,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
65,469.0761556825622,1149.1305980981513,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
66,466.85100412864614,1143.9635839439625,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
67,464.63599757018255,1138.8196877014893,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
68,462.4310901519548,1133.698805885618,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
69,460.23623622513304,1128.600835474675,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
70,458.0513903463474,1123.5256739083507,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
71,455.8765072767647,1118.4732190856328,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
72,453.71154198117097,1113.4433693627493,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
73,451.55644962705605,1108.4360235511201,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
74,449.4111855837034,1103.4510809153176,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
75,447.2757054212842,1098.4884411710373,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
76,445.14996490995475,1093.5480044830772,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
77,443.03392001895827,1088.6296714633263,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
78,440.9275269157313,1083.7333431687612,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
79,438.830741965013,1078.8589210994521,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
80,436.74352172795903,1074.0063071965808,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
81,434.66582296125995,1069.1754038404608,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
82,432.5976026162622,1064.366113848573,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
83,430.5388178380946,1059.5783404736062,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
84,428.48942596479753,1054.8119874015092,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
85,426.4493845264568,1050.0669587495483,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
86,424.41865124434077,1045.3431590643759,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
87,422.39718403004196,1040.6404933201084,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
88,420.3849409846221,1035.958866916409,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
89,418.38188039776117,1031.2981856765844,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
90,416.3879607469099,1026.658355845684,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
91,414.4031406964474,1022.0392840886135,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
92,412.4273790968401,1017.4408774882536,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
93,410.4606349838072,1012.8630435435867,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
94,408.50286757748796,1008.3056901678335,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
95,406.5540362816133,1003.7687256865987,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
96,404.61410068268174,999.2520588360221,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
97,402.6830205491377,994.7555987609404,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
98,400.76075583055496,990.2792550130574,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
99,398.8472666568227,985.8229375491195,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
100,396.9425133373355,981.3865567291039,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
101,395.0464563601874,976.97002331441,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
102,393.15905639136884,972.5732484660633,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
103,391.2802742739681,968.1961437429238,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
104,389.410071027375,963.8386210999058,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
105,387.5484078464899,959.500592886201,1e-06,1e-07,1e-07,0.001,False,8.951518015086217,57.41779651370939
