iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,610.7909429953356,15390.33918840273,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
1,582.1211876157073,14685.161299511483,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
2,554.7815756349644,14012.190732362684,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
3,528.7108113018144,13369.955901536778,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
4,503.8504132145759,12757.052484146105,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
5,480.14458535079257,12172.140344810134,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
6,457.54009400104326,11613.940601226035,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
7,435.9861503368039,11081.232823905913,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
8,415.43429835457164,10572.852363946053,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
9,395.83830795025386,10087.687802974044,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
10,377.1540728890779,9624.678519687282,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
11,368.23373459290934,4598.3594446645175,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
12,359.51803380295246,4494.355102864184,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
13,351.00231843115296,4392.688724923446,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
14,342.6820416540861,4293.307728012922,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
15,334.5527595368492,4196.160712492708,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
16,326.6101287105203,4101.197435282092,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
17,318.84990410197963,4008.3687838287237,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
18,311.2679367149109,3917.6267506637405,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
19,303.8601714608315,3828.92440852966,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
20,296.62264503902406,3742.215886068152,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
21,293.0583573132985,1843.761679693229,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
22,289.53019049741033,1825.3912081796109,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
23,286.03779291651796,1807.196984672879,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
24,282.5808162779138,1789.1773246856878,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
25,279.15891563863323,1771.3305598254767,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
26,275.7717493733724,1753.6550376406854,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
27,272.41897914271357,1736.1491214684324,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
28,269.1002698616533,1718.8111902836565,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
29,265.8152896684329,1701.6396385496914,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
30,262.56370989366593,1684.6328760702768,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
31,259.3452050297614,1667.7893278429758,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
32,256.15945270063935,1651.1074339139989,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
33,253.0061336317361,1634.5856492344124,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
34,249.88493162029616,1618.2224435177202,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
35,246.79553350594844,1602.0163010988094,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
36,243.73762914156407,1585.9657207942403,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
37,240.71091136439213,1570.0692157638737,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
38,237.71507596747264,1554.3253133738206,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
39,234.74982167132185,1538.7325550606995,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
40,231.8148500958889,1523.2894961971924,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
41,228.90986573278056,1507.9947059588849,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
42,226.03457591775182,1492.8467671923795,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
43,223.18869080345897,1477.8442762846673,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
44,220.3719233324742,1462.9858430337513,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
45,217.5839892105575,1448.2700905205008,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
46,214.82460688018438,1433.6956549817367,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
47,212.0934974943272,1419.2611856845228,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
48,209.39038489048676,1404.9653448016647,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
49,206.7149955649723,1390.8068072883934,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
50,204.06705864742824,1376.7842607602295,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
51,201.44630587560323,1362.8964053720147,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
52,198.85247157036179,1349.1419536980986,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
53,196.28529261093425,1335.5196306136702,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
54,193.74450841040368,1322.0281731772238,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
55,191.22986089142705,1308.6663305141474,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
56,188.74109446218915,1295.432863701425,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
57,186.2779559925855,1282.3265456534375,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
58,183.8401947906344,1269.346161008859,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
59,181.4275625791135,1256.4905060186309,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
60,179.03981347242026,1243.7583884350065,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
61,176.6767039536538,1231.1486274016577,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
62,174.33799285191594,1218.6600533448295,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
63,172.02344131982923,1206.2915078655378,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
64,169.73281281127018,1194.041843632793,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
65,167.46587305931533,1181.9099242778468,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
66,165.2223900543986,1169.89462428945,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
67,163.082328302331,1157.9948289101094,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
68,161.00690535764298,1146.2094340333354,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
69,158.95161329369668,1134.5373461018746,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
70,156.9162618888119,1122.9774820069126,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
71,154.90066272561842,1111.5287689882393,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
72,152.90462917387157,1100.1901445353694,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
73,150.92797637343145,1088.960556289609,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
74,148.97052121740487,1077.8389619470547,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
75,147.03208233544822,1066.8243291625222,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
76,145.11248007722924,1055.9156354543925,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
77,143.21153649604724,1045.1118681103658,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
78,142.80015076867727,1034.4120240941181,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
79,142.59639089342792,1023.8151099528487,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
80,142.39330561562403,1013.320141725711,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
81,142.1908882139793,1002.926144853118,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
82,141.98913203232732,992.6321540869159,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
83,141.78803047900297,982.4372134014143,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
84,141.5875770262298,972.3403759052669,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
85,141.3877652095131,962.3407037541955,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
86,141.18858862703877,952.4372680645469,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
87,140.99004093907797,942.6291488276752,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
88,140.79211586739757,932.9154348251434,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
89,140.59480719467587,923.2952235447356,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
90,140.39810876392426,913.7676210972695,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
91,140.20201447791402,904.3317421342065,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
92,140.00651829860905,894.9867097660473,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
93,139.81161424660348,885.7316554815077,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
94,139.61729640056504,876.5657190674671,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
95,139.42355889668337,867.4880485296817,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
96,139.23039592812412,858.4978000142546,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
97,139.0378017444876,849.5941377298578,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
98,138.84577065127314,840.7762338706967,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
99,138.6542970093481,832.0432685402084,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
100,138.4633752344223,823.3944296754944,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
101,138.27299979652727,814.8289129724698,1e-06,1e-07,1e-06,0.01,False,0.7097648611880119,4315.839851704245
