iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,637.8486726287225,15390.33918840273,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
1,634.8562008540579,15319.827759329028,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
2,631.8776074747797,15249.638345317213,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
3,628.9128285521004,15179.769475180557,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
4,625.9618004407525,15110.219684456188,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
5,623.0244597876426,15040.98751537429,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
6,620.100743530514,14972.071516827555,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
7,617.190588896613,14903.470244340699,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
8,614.2939334013632,14835.182260040168,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
9,611.4107148470446,14767.206132623938,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
10,608.5408713214789,14699.540437331492,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
11,607.112395984326,7317.415323656825,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
12,605.6871842838749,7300.9060146775055,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
13,604.2652288179908,7284.433812506145,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
14,602.8465222012652,7267.9986337011,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
15,601.4310570649778,7251.6003950084305,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
16,600.018826057059,7235.239013361481,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
17,598.6098218420519,7218.914405880453,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
18,597.2040371010759,7202.6264898719965,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
19,595.8014645317879,7186.375182828778,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
20,594.4020968483466,7170.16040242907,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
21,593.7035195570644,3579.7590754103962,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
22,593.0056428714435,3576.2205454070704,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
23,592.3084661132722,3572.685404922627,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
24,591.6119886049893,3569.153650723523,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
25,590.9162096696828,3565.6252795792952,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
26,590.2211286310893,3562.1002882625626,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
27,589.5267448135933,3558.578673549021,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
28,588.8330575422268,3555.0604322174395,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
29,588.1400661426688,3551.545561049659,1e-07,1e-08,1e-07,0.01,False,99.53298034949637,1031320.0280564438
