iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,640.5543565491535,1539.933918840273,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
1,640.2537357894896,1539.3808573028975,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
2,639.9532247168447,1538.8279780041746,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
3,639.6528232946346,1538.2752808859195,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
4,639.3525314862865,1537.7227658899662,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
5,639.0523492552397,1537.1704329581669,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
6,638.7522765649451,1536.618282032392,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
7,638.4523133788654,1536.0663130545295,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
8,638.1524596604747,1535.514525966487,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
9,637.8527153732593,1534.96292071019,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
10,637.5530804807169,1534.4114972275815,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
11,637.253554946357,1533.8602554606239,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
12,636.9541387337006,1533.3091953512967,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
13,636.6548318062808,1532.7583168415986,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
14,636.3556341276419,1532.2076198735463,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
15,636.0565456613405,1531.6571043891745,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
16,635.7575663709442,1531.1067703305368,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
17,635.4586962200328,1530.556617639704,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
18,635.1599351721976,1530.006646258766,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
19,634.8612831910417,1529.4568561298308,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
20,634.5627402401796,1528.9072471950246,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
21,634.2643062832376,1528.3578193964915,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
22,633.9659812838536,1527.8085726763943,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
23,633.6677652056777,1527.2595069769134,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
24,633.3696580123708,1526.7106222402479,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
25,633.071659667606,1526.1619184086146,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
26,632.7737701350678,1525.6133954242498,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
27,632.4759893784527,1525.0650532294062,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
28,632.1783173614685,1524.5168917663561,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
29,631.8807540478347,1523.968910977389,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
30,631.5832994012825,1523.421110804813,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
31,631.2859533855548,1522.8734911909546,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
32,630.988715964406,1522.3260520781578,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
33,630.691587101602,1521.7787934087855,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
34,630.394566760921,1521.2317151252187,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
35,630.0976549061514,1520.6848171698555,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
36,629.800851501095,1520.1380994851131,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
37,629.504156509564,1519.5915620134272,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
38,629.2075698953826,1519.0452046972505,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
39,628.9110916223865,1518.4990274790541,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
40,628.614721654423,1517.953030301328,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
41,628.3184599553512,1517.4072131065798,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
42,628.0223064890414,1516.8615758373355,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
43,627.7262612193757,1516.316118436138,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
44,627.4303241102481,1515.7708408455492,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
45,627.1344951255636,1515.2257430081497,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
46,626.8387742292393,1514.6808248665373,1e-07,1e-08,1e-07,0.001,False,142.24193507507647,1266.5045281773391
