iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,640.5543565491535,1539.933918840273,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
1,640.2534653468931,1540.765261634037,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
2,639.952413640621,1541.595514396026,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
3,639.6512016452828,1542.424677242808,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
4,639.3498295757993,1543.2527502913965,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
5,639.0482976470674,1544.0797336592498,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
6,638.7466060739588,1544.905627464271,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
7,638.4447550713209,1545.7304318248082,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
8,638.142744853976,1546.554146859653,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
9,637.840575636722,1547.3767726880415,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
10,637.5382476343315,1548.1983094296534,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
11,637.235761061552,1549.0187572046123,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
12,636.9331161331063,1549.8381161334846,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
13,636.6303130636913,1550.6563863372799,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
14,636.3273520679795,1551.4735679374496,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
15,636.0242333606171,1552.28966105589,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
16,635.7209571562253,1553.1046658149367,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
17,635.4175236693998,1553.918582337369,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
18,635.1139331147101,1554.7314107464074,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
19,634.8101857067006,1555.5431511657139,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
20,634.5062816598897,1556.3538037193912,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
21,634.2022211887698,1557.1633685319844,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
22,633.8980045078072,1557.971845728478,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
23,633.593631831442,1558.7792354342962,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
24,633.2891033740889,1559.585537775305,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
25,632.9844193501351,1560.3907528778097,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
26,632.6795799739424,1561.1948808685547,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
27,632.3745854598459,1561.9979218747242,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
28,632.0694360221539,1562.7998760239418,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
29,631.7641318751486,1563.6007434442688,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
30,631.4586732330849,1564.4005242642065,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
31,631.1530603101916,1565.1992186126938,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
32,630.8472933206698,1565.9968266191077,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
33,630.5413724786944,1566.793348413263,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
34,630.2352979984128,1567.5887841254123,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
35,629.9290700939453,1568.3831338862449,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
36,629.6226889793851,1569.1763978268878,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
37,629.3161548687983,1569.968576078904,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
38,629.009467976223,1570.7596687742946,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
39,628.7026285156702,1571.5496760454946,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
40,628.3956367011235,1572.3385980253765,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
41,628.0884927465387,1573.1264348472487,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
42,627.7811968658436,1573.913186644854,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
43,627.4737492729382,1574.698853552372,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
44,627.1661501816951,1575.4834357044144,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
45,626.8583998059584,1576.2669332360306,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
46,626.5504983595442,1577.0493462827035,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
47,626.2424460562407,1577.8306749803492,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
48,625.9342431098074,1578.6109194653186,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
49,625.6258897339758,1579.3900798743962,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
50,625.3173861424488,1580.1681563447992,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
51,625.0087325489008,1580.9451490141794,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
52,624.6999291669775,1581.721058020619,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
53,624.3909762102965,1582.4958835026353,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
54,624.0818738924456,1583.2696255991768,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
55,623.7726224269848,1584.0422844496234,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
56,623.4632220274441,1584.8138601937883,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
57,623.1536729073254,1585.584352971915,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
58,622.843975280101,1586.3537629246787,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
59,622.5341293592141,1587.1220901931863,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
60,622.2241353580788,1587.8893349189748,1e-07,1e-08,1e-06,0.001,False,19.123284771011193,99216.89847174314
