iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,610.7909429953356,15390.33918840273,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
1,582.1237675466556,14683.839857138764,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
2,554.7890755255243,14009.66922662665,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
3,528.7253478836203,13366.347384750961,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
4,503.87389550975746,12752.462189774422,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
5,480.17872930012754,12166.666166267041,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
6,457.5864361878922,11607.673543225723,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
7,436.04606085893806,11074.257427870412,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
8,415.50899289313327,10565.24710890151,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
9,395.9288590823653,10079.525483287855,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
10,377.26142068804097,9616.026600926318,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
11,368.36119687043237,4588.012041382135,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
12,359.6682687127069,4482.633369096141,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
13,351.1778487620015,4379.661559612479,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
14,342.8852596263545,4279.041617709189,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
15,334.7859314505565,4180.719805338292,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
16,326.8753994498163,4084.6436128797754,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
17,319.1493014999196,3990.7617310529795,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
18,311.6033757825862,3899.0240234703174,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
19,304.2334584847635,3809.3814998186626,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
20,297.0354815506204,3721.7862896540364,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
21,293.51715878112395,1820.0498235292666,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
22,290.0394094890843,1799.3715732860555,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
23,286.6017703895124,1778.926515387059,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
24,283.20378345999706,1758.7120188050737,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
25,279.8449958810869,1738.7254822131924,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
26,276.5249599773472,1718.9643336494375,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
27,273.24323315908305,1699.4260301851796,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
28,269.99937786472265,1680.108057597305,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
29,266.7929615038509,1661.0079300440818,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
30,263.62355640088936,1642.1231897446885,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
31,260.4907397394117,1623.4514066623617,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
32,257.39409350709,1604.9901781911199,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
33,254.3332044412641,1586.73712884603,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
34,251.3076639751257,1568.6899099569655,1e-06,1e-07,1e-07,0.01,False,15.063568215991571,82.12176407958047
