iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,637.8486726287225,15390.33918840273,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
1,634.8559315431955,15321.206440040562,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
2,631.8768020457304,15252.383044867094,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
3,628.9112226838755,15183.867617931808,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
4,625.959132281601,15115.658780486825,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
5,623.020469938058,15047.755159959124,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
6,620.0951750263437,14980.155389922878,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
7,617.1831871922709,14912.858110071933,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
8,614.2844463531432,14845.861966192371,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
9,611.3988926965374,14779.165610135235,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
10,608.5264666790885,14712.76769978936,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
11,607.0951303324658,7332.067838309528,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
12,605.6665513843926,7318.152072628123,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
13,604.240724805489,7304.261407485298,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
14,602.8176455753835,7290.395798112275,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
15,601.397308682699,7276.555199819881,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
16,599.9797091250355,7262.739567998421,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
17,598.5648419089545,7248.948858117531,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
18,597.1527020499627,7235.183025726025,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
19,595.7432845724969,7221.44202645177,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
20,594.3365845099071,7207.725816001544,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
21,593.6301135358323,3620.1966247335395,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
22,592.9233491150377,3621.751939388375,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
23,592.2162929097266,3623.2987988070413,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
24,591.5089465807328,3624.8372097932265,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
25,590.801311787518,3626.3671791582888,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
26,590.093390188171,3627.888713721241,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
27,589.3851834394063,3629.4018203087226,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
28,588.6766931965622,3630.906505754984,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
29,587.9679211135992,3632.4027769018653,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
30,587.2588688430993,3633.8906405987714,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
31,586.5495380362638,3635.370103702651,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
32,585.8399303429115,3636.841173077982,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
33,585.1300474114788,3638.3038555967396,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
34,584.4198908890163,3639.7581581383856,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
35,583.7094624211884,3641.2040875898406,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
36,582.9987636522721,3642.641650845464,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
37,582.2877962251549,3644.070854807036,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
38,581.5765617813332,3645.4917063837324,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
39,580.8650619609118,3646.904212492106,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
40,580.1532984026013,3648.3083800560653,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
41,579.4412727437178,3649.704216006851,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
42,578.7289866201806,3651.0917272830184,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
43,578.0164416665112,3652.470920830415,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
44,577.3036395158317,3653.8418036021576,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
45,576.5905817998633,3655.204382558615,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
46,575.8772701489255,3656.5586646673837,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
47,575.1637061919334,3657.9046569032666,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
48,574.4498915563979,3659.242366248255,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
49,573.7358278684231,3660.571799691506,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
50,573.0215167527053,3661.89296422932,1e-07,1e-07,1e-06,0.01,False,18.52971737507145,492640.8205233793
