iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,637.8477821996446,1539.933918840273,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
1,634.8514623079044,1534.3969415083507,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
2,631.8660906575445,1528.8782399497868,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
3,628.891630666824,1523.3777556961068,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
4,625.9280458715544,1517.8954304633385,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
5,622.9752999247303,1512.4312061514345,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
6,620.0333565961577,1506.9850248436971,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
7,617.1021797720861,1501.5568288061997,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
8,614.1817334548404,1496.1465604872167,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
9,611.2719817624547,1490.7541625166516,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
10,608.3728889283065,1485.379577705467,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
11,605.4844193007527,1480.0227490451173,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
12,602.6065373427665,1474.6836197069824,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
13,599.7392076315751,1469.3621330418048,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
14,596.8823948582992,1464.0582325791252,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
15,594.0360638275935,1458.7718620267228,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
16,591.2001794572873,1453.5029652700582,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
17,588.3747067780279,1448.2514863717124,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
18,585.559610932924,1443.017369570835,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
19,582.7548571771899,1437.8005592825896,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
20,579.9604108777924,1432.6010000975996,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
21,577.176237513097,1427.418636781402,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
22,574.4023026725164,1422.2534142738953,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
23,571.6385720561597,1417.1052776887943,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
24,568.8850114744821,1411.974172313086,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
25,566.1415868479378,1406.8600436064846,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
26,563.4082642066305,1401.76283720089,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
27,560.6850096899686,1396.6824988998487,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
28,557.9717895463191,1391.6189746780155,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
29,555.2685701326636,1386.5722106806163,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
30,552.575317914255,1381.5421532229127,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
31,549.8919994642756,1376.5287487896705,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
32,547.2185814634956,1371.5319440346268,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
33,544.555030699934,1366.5516857799605,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
34,541.9013140685191,1361.5879210157627,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
35,539.2573985707506,1356.6405968995136,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
36,536.6232513143631,1351.709660755554,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
37,533.9988395129908,1346.7950600745628,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
38,531.3841304858316,1341.896742513037,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
39,528.779091657315,1337.0146558927697,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
40,526.1836905567682,1332.1487482003326,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
41,523.5978948180859,1327.2989675865585,1e-06,1e-07,1e-06,0.001,False,66.40365546779408,449.5356018909248
