iter,res_primal,res_dual,alpha,alpha_mu,alpha_lambda,rho,convergio,res_eq_final,res_dual_final
0,610.7909429953356,15390.33918840273,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
1,582.1240255397504,14683.707712901492,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
2,554.7898255157677,14009.417075452264,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
3,528.7268015475736,13365.98653075175,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
4,503.87624375611506,12752.003154734355,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
5,480.1821437332712,12166.118737589777,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
6,457.5910704808991,11607.046819131028,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
7,436.0520520412696,11073.559859990586,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
8,415.5164625579356,10564.486542421111,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
9,395.9379145180469,10078.709194762498,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
10,377.2721559385274,9615.161333908916,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
11,368.37394377042824,4586.97719877836,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
12,359.6832931904925,4481.461036135237,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
13,351.19540322778784,4378.3586168244765,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
14,342.90558345382016,4277.614703407869,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
15,334.8092514434171,4179.175323102217,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
16,326.9019302938586,4082.987738817747,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
17,319.1792462009201,3989.000420859858,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
18,311.63692609052595,3897.1630192789985,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
19,304.27079530473435,3807.4263368538573,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
20,297.076775340811,3719.742302693323,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
21,293.56305154019776,1817.677381379308,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
22,290.0903472928492,1796.7679367828791,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
23,286.65818823651944,1776.0973362822203,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
24,283.2661054666657,1755.6628505717638,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
25,279.9136354738241,1735.461781549707,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
26,276.60032008170367,1715.491461961165,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
27,273.3257063859889,1695.7492550454003,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
28,270.0893466938438,1676.2325541870887,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
29,266.89079846411,1656.9387825715728,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
30,263.72962424818814,1637.8653928440642,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
31,260.60539163159876,1619.0098667727345,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
32,257.5176731762116,1600.3697149156676,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
33,254.4660463631372,1581.942476291618,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
34,251.45009353627293,1563.7257180545348,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
35,248.46940184649597,1545.7170351718103,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
36,245.52356319649567,1527.914050106206,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
37,242.61217418623826,1510.3144125014194,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
38,239.7348360590562,1492.915798871245,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
39,236.8911546483559,1475.7159122922922,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
40,234.08074032493505,1458.7124821002174,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
41,231.30320794490524,1441.9032635894287,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
42,228.55817679821,1425.286037716229,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
43,225.84527055773341,1408.8586108053514,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
44,223.1641172289921,1392.6188142598512,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
45,220.51434910040305,1376.5645042743186,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
46,217.89560269412254,1360.6935615513687,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
47,215.30751871744724,1345.0038910213766,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
48,212.7497420147729,1329.4934215654155,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
49,210.22192152010376,1314.1601057413664,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
50,207.723710210106,1299.0019195131586,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
51,205.25476505769885,1284.016861983108,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
52,202.81474698617856,1269.2029551273158,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
53,200.40332082386723,1254.5582435340943,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
54,198.02015525928178,1240.080794145386,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
55,195.66492279681702,1225.7686960011367,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
56,193.3372997129359,1211.6200599865954,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
57,191.03696601286285,1197.6330185825022,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
58,188.76360538777269,1183.805725618137,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
59,186.5169051724706,1170.1363560271877,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
60,184.2965563035571,1156.6231056064148,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
61,182.10225327807254,1143.2641907770749,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
62,179.93369411261543,1130.0578483490713,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
63,177.7905803029298,1117.0023352878047,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
64,175.6726167839554,1104.09592848369,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
65,173.57951189033585,1091.336924524307,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
66,171.51097731737963,1078.7236394691608,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
67,169.46672808246873,1066.2544086270134,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
68,167.4464824869088,1053.9275863357695,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
69,165.4499620782178,1041.74154574487,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
70,163.47689161284637,1029.6946786001834,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
71,161.5825660641869,1017.7853950313527,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
72,159.75742198485048,1006.0121233415747,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
73,157.9524945808425,994.3733097997865,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
74,156.1675570176343,982.8674184352235,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
75,154.4023850283684,971.4929308343345,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
76,152.65675688465097,960.2483459400113,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
77,150.93045336767688,949.1321798531222,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
78,149.22325773968382,938.1429656363099,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
79,147.53495571573288,927.2792531200356,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
80,145.86533543580973,916.5396087108428,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
81,144.21418743724527,905.92261520181,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
82,142.7952199361308,895.4268715851761,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
83,142.6140940397798,885.0509928671044,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
84,142.43380218515202,874.7936098845698,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
85,142.25433612092488,864.6533691243357,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
86,142.07568768734143,854.6289325440038,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
87,141.89784881517616,844.7189773951103,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
88,141.72081152471245,834.9221960482458,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
89,141.54456792473138,825.2372958201744,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
90,141.36911021151246,815.6629988029293,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
91,141.19443066784538,806.1980416948662,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
92,141.0205216620531,796.8411756336444,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
93,140.84737564702627,787.5911660311234,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
94,140.67498515926815,778.4467924101425,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
95,140.50334281795065,769.4068482431708,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
96,140.33244132398136,760.4701407928009,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
97,140.1622734590805,751.6354909540684,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
98,139.9928320848692,742.9017330985723,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
99,139.82411014196728,734.2677149203807,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
100,139.6561006491021,725.7322972836981,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
101,139.48879670222675,717.2943540722721,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
102,139.32219147364899,708.9527720405281,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
103,139.1562782111695,700.7064506664019,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
104,138.99105023723027,692.5543020058568,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
105,138.8265009480724,684.4952505490652,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
106,138.66262381290403,676.5282330782338,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
107,138.49941237307672,668.6521985270566,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
108,138.33686024127223,660.866107841773,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
109,138.17496110069783,653.1689338438172,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
110,138.01370870429113,645.5596610940372,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
111,137.8530968739337,638.0372857584662,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
112,137.69311949967388,630.6008154756307,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
113,137.533770538958,623.2492692253752,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
114,137.37504401587094,615.9816771991871,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
115,137.21693402038463,608.797080672005,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
116,137.05943470761562,601.6945318754917,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
117,136.90254029709084,594.6730938727603,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
118,136.7462450720216,587.7318404345275,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
119,136.59054337858612,580.8698559166875,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
120,136.43542962522014,574.0862351392851,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
121,136.28089828191509,567.3800832668732,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
122,136.12694387952496,560.7505156902346,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
123,135.97356100908075,554.1966579094648,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
124,135.82074432111244,547.7176454183835,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
125,135.6684885249789,541.3126235902711,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
126,135.51678838820544,534.9807475649154,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
127,135.36563873582892,528.7211821369453,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
128,135.21503444975,522.5331016454428,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
129,135.06497046809292,516.4156898648189,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
130,134.91544178457272,510.3681398518763,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
131,134.76644344786925,504.3896532795709,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
132,134.61797056100838,498.47944229313424,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
133,134.4700182807503,492.63672734164527,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
134,134.32258181698546,486.8607377823244,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
135,134.17565643213612,481.1507117786848,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
136,134.0292374405656,475.5058961998503,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
137,133.8833202079939,469.9255465210238,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
138,133.73790015091987,464.4089267250926,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
139,133.59297273605,458.9553092053613,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
140,133.4485334797339,453.5639746693957,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
141,133.3045779474058,448.23421204396715,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
142,133.16110175303274,442.965318381082,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
143,133.01810055856873,437.7565987650889,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
144,132.87557007341525,432.60736622084517,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
145,132.73350605388802,427.51694162293694,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
146,132.5919043026894,422.4846536059338,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
147,132.45076066838712,417.5098384756715,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
148,132.31007104489888,412.59184012155026,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
149,132.16983137098268,407.7300099298342,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
150,132.03003762973287,402.9237066979426,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
151,131.89068584808228,398.17229654972294,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
152,131.75177209630942,393.47515285169067,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
153,131.6132924875518,388.83165613022805,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
154,131.47524317732447,384.2411939897305,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
155,131.33762036304412,379.70316103168744,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
156,131.20042028355854,375.2169587746891,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
157,131.06363921868135,370.781995575349,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
158,130.92727348873214,366.39768655013023,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
159,130.79131945408184,362.0634534980643,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
160,130.6557735147029,357.77872482435674,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
161,130.52063210972506,353.5429354648629,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
162,130.38589171699584,349.35552681143076,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
163,130.25154885264604,345.2159466380951,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
164,130.11760007066027,341.12364902811504,1e-06,1e-07,1e-08,0.01,False,0.9576383962901105,3.74253610413545
